statistic,source,condition,score,p_value
viper,Fibrosis stage,V49,-1.2540378426080971,0.2098282509810805
viper,Fibrosis stage,V50,0.2033514315104395,0.8388603586623944
viper,Fibrosis stage,V51,-1.3960940995822364,0.16268616041079073
viper,Fibrosis stage,V52,-1.659870483296868,0.09694051056411866
viper,Fibrosis stage,V53,2.217920881000626,0.026560227496987523
viper,Fibrosis stage,V54,-2.676934374870494,0.0074299186203189834
viper,Fibrosis stage,V55,0.3607140551673797,0.7183132166368281
viper,Fibrosis stage,V56,-1.6861701670349758,0.0917630282371198
viper,Fibrosis stage,V57,-2.4672018164293066,0.013617358413550596
viper,Fibrosis stage,V58,-1.6317289213485973,0.10273660462066725
viper,Fibrosis stage,V59,2.8942716215869027,0.003800392541381779
viper,Fibrosis stage,V60,2.5651908800653076,0.010311905921071543
viper,Fibrosis stage,V61,2.9165771998861105,0.0035389513215952715
viper,Fibrosis stage,V62,3.0978445938596857,0.0019493362125637685
viper,Fibrosis stage,V63,0.538215612078721,0.5904282029957502
viper,Fibrosis stage,V64,0.5030071947604002,0.6149592137324837
viper,Fibrosis stage,V65,1.3640220767342306,0.17256061755808996
viper,Fibrosis stage,V66,2.2043371166788495,0.027500644485058356
viper,Fibrosis stage,V67,-2.1688909783909054,0.030090961833553587
viper,Fibrosis stage,V68,1.4703768983398957,0.14145970457295579
viper,Fibrosis stage,V69,-0.562184411373498,0.5739903812285038
viper,Fibrosis stage,V70,2.890347829459083,0.003848157841784066
viper,Fibrosis stage,V71,2.5757163144698154,0.0100032680616361
viper,Fibrosis stage,V72,3.49737707318475,0.00046985719634094633
viper,Fibrosis stage,V73,-0.5553976388326821,0.5786227072656438
viper,Fibrosis stage,V74,-1.8678495210850226,0.06178304863287299
viper,Fibrosis stage,V75,2.518079791042272,0.011799658689643309
viper,Fibrosis stage,V76,2.648364527201482,0.008088225926679484
viper,Fibrosis stage,V77,-2.7490733833176666,0.0059764004511013045
viper,Fibrosis stage,V78,-1.9790683615182587,0.04780831003435603
viper,Fibrosis stage,V79,0.06562760593959516,0.9476743101247153
viper,Fibrosis stage,V80,0.8674759586709738,0.38568127880227515
viper,Fibrosis stage,V81,2.5119883319031815,0.01200530580004634
viper,Fibrosis stage,V82,2.842615297961732,0.004474504349290098
viper,Fibrosis stage,V83,2.8732133300459997,0.004063196446029679
viper,Fibrosis stage,V84,2.5500884093868033,0.01076956048142697
viper,Fibrosis stage,V85,2.5951301989205917,0.009455509292939021
viper,Fibrosis stage,V86,3.7826453105420663,0.00015517045210824816
viper,Fibrosis stage,V87,-1.72971755881941,0.08368074998036953
viper,Fibrosis stage,V88,-1.6016522777112556,0.10923252359922868
viper,Fibrosis stage,V89,-0.4978107737657967,0.6186174215003337
viper,Fibrosis stage,V90,0.25193267625509425,0.8010931020045411
viper,Fibrosis stage,V91,-0.6317799464240487,0.5275306792047216
viper,Fibrosis stage,V92,-0.8943220888330962,0.37114958479917554
viper,Fibrosis stage,V93,-0.5939187708021507,0.5525664436791362
viper,Fibrosis stage,V94,-1.5781119589359567,0.11453989130639493
viper,Fibrosis stage,V95,0.26770636219413224,0.7889253521921146
viper,Fibrosis stage,V96,-1.3903320134752768,0.16442808087429187
viper,Fibrosis stage,V97,-2.1773982224565076,0.029450868199920283
viper,Fibrosis stage,V98,0.9578523026249077,0.3381372409555737
viper,Fibrosis stage,V99,0.37452188630683514,0.7080160765436736
viper,Fibrosis stage,V100,-2.4693228260056563,0.013536903445219791
viper,Fibrosis stage,V101,2.1090742670880007,0.03493817164281971
viper,Fibrosis stage,V102,2.9797717311229444,0.002884632556145543
viper,Fibrosis stage,V103,0.5408345012276872,0.5886216600570788
viper,Fibrosis stage,V104,-0.34302040053514204,0.7315831128211967
viper,Fibrosis stage,V105,-2.071313943088444,0.03832946711487001
viper,Fibrosis stage,V106,-1.9199935489544522,0.05485871426442896
viper,Fibrosis stage,V107,2.1807896050271567,0.02919898178374384
viper,Fibrosis stage,V108,2.62568909934535,0.008647376128152957
viper,Fibrosis stage,V109,2.2288358369126313,0.025824829541659235
